0.75,0.77,periphery
0.76,1,periphery
0.85,1.45,periphery
1,0.75,periphery
1.05,1,periphery
1.07,1.25,periphery
1.2,2.05,periphery
1.25,0.95,periphery
1.27,1.25,periphery
1.3,4.31,area
1.4,1.11,periphery
2.2,1.23,periphery
2.27,2.85,center
2.4,4.6,area
2.5,3.1,center
2.55,2.6,center
2.6,2.9,center
2.7,2.7,center
2.78,3,center
2.8,2.5,center
3,3,center
3.05,3.08,center
3.05,3.2,center
3.1,2.85,center
3.15,2.5,center
3.2,3.25,center
3.25,3.1,area
3.65,5.05,hill
3.8,0.8,area
4.1,2.87,center
4.77,4.75,hill
4.74,5.05,hill
4.8,1.9,area
4.95,4.73,hill
4.95,5.25,hill
5.01,5.03,hill
5.05,3.12,area
5.23,5.02,hill
5.21,5.28,hill
